,title,hits
266,피파4 실축 같은 3톱 전개 (첼시 3톱 졸라 - 드록바 - 조콜),23708
65,"피파4 첼시 드록바 금카 영입! 골 결정력, 몸싸움이 미쳤습니다..",22751
121,피파온라인3 드록바 스페셜,22667
564,마이클 조던이 슈퍼 대장. 그래도 나눠본 NBA 슈팅가드 20인 티어리스트!,21592
137,"Black Jesus Didier Drogba Drogba Special, 드로그바 스페셜",21546
1,죽기 전에 봐야 할 '디디에 드록바' 풀스토리 🇨🇮,21543
458,Drogba vs Aguero vs Rooney ⚽🥅,20894
368,안주 반이 없어졌어!! 파티마vs드록바,20869
538,국대에서는 에이스 첼시에서는 ㅂㅅ 하베르츠 #football,20853
104,"아이콘 드록바 5카 후기 [피온4,선수후기1][피온,첼시,드로그바]",20720
205,Didier Drogba All 160 Goals For Chelsea 2004-2015,20289
350,"꿀잼인 메시,호날두의 웃긴 광고,힘이 되는 광고",20144
70,맨유 vs 첼시 우리가 모두 아는 그 경기 I 박지성 인생 챔피언스리그 I 절망하는 드록바,19728
145,드록바 히든 특수능력 발동ㅋㅋ #shorts,19673
575,다시 3백! 카이세도 벤치! 첼시 vs 웨스트햄 입중계,19487
480,Thierry Henry Vs Didier Drogba,18649
523,How good was Didier Drogba?! #MOTDAfricaTop10 #BBCSounds #Podcasts,18043
590,"감스트 23/24 PL 1R 첼시 vs 리버풀 입중계, 포체티노 PL 복귀전 [23.8.13 PL 입중계]",17982
112,"[피파4-LN]코트디부아르 ST, 디디에 드로그바 LN 5카 리뷰와 골모음(fifa4 Cote d'Ivoire ST, Didier Drogba LN 5 review)",17901
494,"The Great Journey of ""Special One"" Jose Mourinho #3 - Marseille 2-4 FC Porto (agg) | UCL 2003/04",17783
445,Drogba vs Rooney 🥶,17442
84,첼시 스쿼드에 드록신을 왜 안 쓰는 걸까?,17373
5,트랙스 차주들의 만족도가 높은 5가지 이유,17260
550,Comment José Mourinho a vendu du rêve à Loïc Rémy à Chelsea #football #interview #chelsea,16547
346,피파온라인4 첼시 엠버서더 드로그바 미페 원본 ⚡️,16360
126,1대장 시즌 갱신! LN 디디에 드로그바 리뷰 피파4,16017
413,드록바: 누나 입에서 남자 냄새 나?! 😱 #shorts,15316
113,#7 대륙의 주인 [에투/드록바],15263
119,드록바가 쓰러지지 않아 - 피파4,14102
225,나 이제 드록바 얼굴만 봐도 웃겨ㅠ #드승준 #shorts,14010
245,양발로 출시될 아이콘 모먼트 TOP 5 피파4,13742
244,피파온라인4 팀 500억 팀 다팔고 첼시 엠버서더 디디에 드록바 5카 인생강화 도전 7월 16일 피파 강화데이,13183
71,드록바의 극적인 동점골이 이끈 우승!! ● 첼시 vs 바이에른 뮌헨 경기 하이라이트 - 2012/05/20,13133
568,라비아 첼시 오피셜! 엔조 - 카이세도와 조합은?,13098
526,"Didier Drogba의 라이프스타일, 순자산, 주택, 자동차 2022",13085
14,'디디에 드록바': 첼시 역사상 최고의 스트라이커,12829
178,아 몰랑 콘 드록 6카 도전 #피파온라인4 #피파4 #아이콘 #드록바,12468
314,뚝배기 0티어 캡드록바 드ㅡ멘,12450
529,Mudryk did the Drogba’s goal celebration against Leicester City,11601
4,드록바 전성기 시절 최정상급 레전드 민첩성,11594
259,드멘~ 드록신 레전더리 드록바 efootball2022모바일,11482
8,"돈 값 못하는 첼시, 카이세도 최악의 경기력 (웨스트햄 vs 첼시 주요 장면 분석)",11412
288,LH드로그바 리뷰! 찬양하라 드-멘 드록바!! 피파온라인4 FIFA Online4,11074
543,Legends On R9 - Ronaldo Nazario 🇧🇷 #football #goat #story #drogba #ronaldo #r9,11030
382,피파4 드록바와 아이들 '코트디부아르 스쿼드' #shorts #피파4,10850
27,"드록바의 수줍은 고백 “지단 형님, 제 유니폼 잘 있나요?”",10820
549,Vidic And Ferdinand Is Drogba's Nightmare | #shorts #vidic #rioferdinand #football #chelsea,10588
388,Epic Drogba Magical Moments | eFootball 2023 Mobile,10485
207,"""ICON 드로그바"" 첼시 원톱은 드멘!!! [피파4]",10476
347,드록바는 댄스머신ㅋㅋㅋ #드승준 #shorts,10391
399,사주세요 제발 드록바,10301
229,신규 시즌 HOL 클래스가 출시합니다! 드록바랑 호돈 실화냐?! 피파모바일,9987
436,"드록바 영접준비 완료 1180억 첼시 맨유 팀컬러 515 스쿼드, 즐라탄 금카가 후보라고? 피파4 마인부우TV",9853
525,FIFAMOBILE X Bombastic. 114 Drogba Vs 110 Voller. #viral #trendingshorts #fifamobile #bombastic,9690
470,Didier Drogba vs Liverpool UCL 07-08 Semi-Final,9640
136,디디에 드록바 커리어 프리킥 베스트 top 10,9394
489,Drogba's reaction 😭😂 #ronaldo #ronaldo #reaction,9298
160,피파4 드록바 골결정력 희망편,8954
416,Chelsea legend Didier Drogba in Cameroon to support his country AFCON 2021 👏,8817
553,누가 홀란한테 마취총 쐈냐 ㅋㅋㅋㅋㅋㅋㅋㅋ,8814
593,진짜 응원 분위기 미친 EPL 팀은 어디...??!,8379
354,한국의 드록바라고 불렸던 선수 근황,8339
463,🗣️DROGBA❤️‍🩹😈||#footballshorts ||,8135
232,드록바 7진 이게붙네 #피파모바일 #드록바 #잠보 #영미터 #진화,8063
466,드록바 리액션🤪 #세자 #갓성은 #오동지 #김해꼬마 #빛히언 #빌런 #먹태형님 #엄삼용 #리액션,7783
7,"퍼디난드가 박지성에게 레전드를 묻다(ft. 피구, 드록바, 카를루스)",7652
340,대한민국 평균의 눈에서 평가한다. CAP 드록바 리뷰 ㅣ피파4,7593
111,피파4 LN 시즌 드로그바 선수 리뷰,7534
587,"하하, 물공 헤딩 앙리와 함께하는 올 모먼트 스쿼드",7471
552,“친선전에서 이렇게까지?!” 농구 강호들의 꿀잼 맞대결 | 프랑스 vs 호주 | 비스토리 경기 리뷰,7069
81,"김해꼬마TV ""진짜 열심히 살겠습니다""부천 황제 드록바형님 집에서 한 수 배우고 왔습니다.",6846
12,재평가 아이콘 +5카 디디에 드록바 써봤다 피파4,6786
319,04/05 첼시 무리뉴 1기 전술! 변형 4123으로 MC드록바와 아이콘 램파드 끼고 구현해봤습니다!! 공격 시 433 수비 시 4141되네요 피파4,6762
524,Jose Mourinho Reveals HOW Drogba Was Signed 🥹 #shorts #football,6601
547,Drogba🔥🔥🔥#drogba #stop #war #football #stopwar,6517
170,아프리카 공격수 전설 대결 사무엘 에투 vs 디디에 드록바 누가 더 뛰어난 선수일까?,6464
355,피파22 드록바 페이스온 만들기 | FIFA 22 FACE ON CUSTOMIZE | Didier Drogba | Chelsea FC | Cote d'Ivoire | 커리어모드,6332
580,"[브런치타임] '꼴찌→우승' 메시가 해냈다! / 조규성, 전반 20분 교체아웃 / 역대급 카이세도, 역대급 데뷔전 / 토트넘 믿어도 됩니까?",6327
62,첼시 드록바 금카 쓰고 4조 스쿼드 본캐 리빌딩,6307
233,"[피파4-LH]코트디부아르 ST, 디디에 드로그바 LH 8카 리뷰와 골모음(fifa4 Cote d'Ivoire ST, Didier Drogba LH 8 review)",6288
182,#피파4 #shorts #드록바 #억까 #골대 #구독과좋아요 #피파온라인4 나만안들어가,6240
292,피파4 아이콘 드록바 나오는 영상!,6185
492,Drogba 😳😳 #football #shorts #drogba,6087
410,드록바 하위호환 토토충!브랜트포드의 아이반 토니#shorts,5922
400,슈퍼 불마왕👹 24단계 1분 도전!! 벌칙자 드록바x여제 #쇼츠 #shorts,5829
592,drogba 💀,5648
539,은쿤쿠 첼시에서의 데뷔골 #football,5644
332,피파4 드록바만 가능한 골 (CAP드로그바 5카),5190
328,드록신 한테 전수 받는 다비드 루이스의 미친 프리킥,5182
220,[ 첼시의 영혼의 듀오 ] 아이콘 드록바 5카 / 아이콘 램파드 5카,5064
546,친정팀에 원더 극장골 꽂는 갤러거,4941
91,"7진 드로그바 출격 준비 완료, 500억 첼시 스쿼드!",4789
500,Didier Drogba runs for president of the Ivory Coast Football Association,4611
295,드록바가 좋은건가? 싶은 순간,4535
373,드록바 중거리 시저스킥,4534
219,피파4 내가 아이콘 드록바를 쓰는 이유,4372
508,"첼시 역사상 최고의 골키퍼 ""페트르 체흐"" #football",4298
417,아이콘 토레스 드록바 6카 루카쿠10카 ㅁㅊ,4243
114,드록바의 라스트댄스 : 가장 극적인 우승(aka. 첼램덩크) ⚽,4211
323,Didier DROGBA vs Gary LINEKER - FIFA 23 ICON Comparison,4183
541,Drogba be like 😎#drogba#neur#vinicius,4053
157,피파4 드록바 골결 정력,4015
22,"전쟁을 멈춘 축구 영웅, 디디에 드록바! 덕분에 코트디부아르에 기적은 일어났다..! #[tvN]프리한닥터W EP.81 | tvN 221130 방송",3966
271,양발 드록바,3903
397,맹추위 속 '투게더 벌칙' 덜덜덜 추워죽어! 😜 #드록바 #shorts,3844
542,아스날에서 온 첼시의 어시왕 파브레가스 #football,3657
533,100 rated Drogba #efootball #shorts,3654
188,ㄷㄷ#드록바#램파드#첼시,3435
130,전성기 첼시 시절 개쩌는 드록바의 피지컬 #football,3241
320,드록바를 무시하면 안되는 이유 #shorts,3185
198,능력치는 어떻게 올려야할까? 빅타임 마케레레 에픽 드록바 체흐 살펴보기 #efootball2023 #이풋볼,3157
281,드록신 중거리슛,3107
155,느려도 드록바 쓰는 이유,3099
270,피파4 역습은 한방 #피파4 #피파온라인4 #억까 #배그 #금카 #아이콘 #드록바#shorts,2944
118,하위 시즌 드록바는 어떨까? MC 드록바 ＆ BTB 드록바 리뷰 ㅣ피파4,2910
261,Didier Drogba & Frank Lampard - UNSTOPPABLE Duo,2885
122,첼시의 상징 디디에 드록바 스페셜? #shorts,2877
242,드록바 논스톱 슛 -피파4 #shorts,2827
147,방탄소년바! BTB드로그바 금카 영입! 본캐 1조 첼시 스쿼드!,2784
357,속가 빠른 드록바????ㅣ피파4 #shorts,2768
596,"또 부상이야?? 첼시 본체 70분만에 다운... 리스 제임스 부상, 어떡하나요??",2727
379,#shorts 오버헤드킥 타겟맨 드록바 - 피파4,2698
341,총 쏘는 드록바 -피파4 #shorts,2651
294,드록바는 키퍼를 찢어 - 피파4 #shorts,2611
255,팀 다팔고 아이콘 드록바 인생강화,2610
73,[디디에 드록바]에 대한 평가,2566
79,아이콘 은카 드록바 피파4,2565
152,1조 드록바 슛,2540
440,드록바 8강 강화 도전 피파모바일,2510
195,나홀로 억까 혈압주의 #피파4 #드록바 #shorts,2482
554,쉬다가 오겠습니다.,2387
555,첼시의 조커형 수비수 다비드 루이스 #football,2370
257,피파4 드록바 센터백 2명 어깨빵 (CAP드로그바 5카),2290
338,드록바 라인브레이킹 슛,2273
605,아펠리오스의 포탑이 너무 밝아 보였던 카직스,2233
467,MOG드록바 3카 리뷰!! 드디어 쓸만한 드록바가!! 탱크가 뛰어다니네..,2205
215,아이콘 드록바 250% 떡상? 왜이렇게 올랐지? 피파온라인4,2184
544,1345억의 사나이 미하일로 무드릭 첼시에서의 활약상 #football,2178
246,피파4 레전더리리그 전쟁을 끝낸 사나이 디디에 드록바.,2156
102,음바페 드록바의 10년 전 약속,2111
433,피파온라인4 50억트레이드 #shorts,2108
499,트젠언니 간절한 청양고추 어필 #shorts #미가 #드록바,2077
559,첼시 스쿼드에서 하베르츠가 필수인 이유,2057
606,[5000억~1조] 첼시 금액별 파워랭킹&금액별 공경스쿼드 피파4,2005
213,드록바의 명언 10가지,1995
285,드록바 파워헤더 얻어맞고 상대 나감 #피파온라인4 #첼시 #fifaonline4 #football,1979
268,드록바를 쓰는 이유,1935
312,드록바 6진을 3칸으로?? #피파모바일,1933
276,드록바 쓰라니까#shorts,1924
249,드록바 미친 헤딩,1858
334,드록바의 나라 필살기 #virtuastriker4,1785
387,[드록바 사주] 도화가 강한 사주,1777
375,13 드록바7강강화 미친짓이짘ㅋ,1744
83,'전쟁을 멈춘 영웅' 디디에 드록바 명언,1699
545,첼시의 미래 미하일로 무드릭의 개지리는 네이마르 터치 #football,1685
304,피파4 전쟁을 멈춘 사나이 디디에 드록바..,1681
435,휴먼폴플랫 ] 온도니 흔드록바,1581
530,Untold Truth About Drogba - History of Didier Drogba #shorts #chelsea #drogba,1560
383,엉덩이~~~흔드록바~~~~~! - 피파4 #shorts,1545
532,legendary drogba goal against Munich #shorts,1531
167,첼시의 신 드록신 드록바#shorts,1530
176,부천야간청소년 ㅡ #부천 #오동지 #황용만 #김대촌 #세자 #갓성은 #백대종 #중검 #김해꼬마 #투깝이 #엄삼용,1489
142,제 2의 드록바 니콜라스 잭슨 첼시에서의 활약상 #football,1439
277,쿠르투아도 피해버리는 드록바의 슈팅,1430
109,피파4#피파4 #피파온라인4 #배그 #아이콘#드록바#드리블#shorts #억까,1422
139,갓성은 수육국밥 먹방 with 드록바,1417
290,나이키 신발 반전그림 (feat. 첼시 드록바 운동화) #shorts,1398
184,[피파모바일] 드록바 pk실축 #shorts,1395
235,피파4 내 심장을 들었다 놨다.. 흔드록바..,1356
214,한때 최고의 스트라이커였던 선수 디디에 드록바[E풋볼모바일],1342
227,[피파모바일] 드록바 폼 미쳤다,1342
420,보정을 받은 에이브러햄은 드록바다../에이브러햄 금카+로마 스쿼드/피파온라인4 #shorts,1321
344,캡틴 드록바 은카 3.8칸 도전 드로그바!!,1314
131,첼시 역사상 최고 스트라이커 디디에 드록바 #football,1289
514,구찌댄스 구찌리액션,1274
161,제 2의 드록바 니콜라스 잭슨 3경기 연속 공격포인트 #football,1267
56,모먼트 드록바 존버 일기 제 1화: 콘록바 은카 & 모먼트 램파드 듀오의 공식경기 양민학살 현장 목격담 [피파온라인4],1264
321,엌ㅋㅋ감사합니다 뭐하세요? 드록바 줍줍 #첼시 #피파온라인4 #fifaonline록,1244
317,드록바와 굴리트가 머리로 하는 개사기 플레이들 #shorts #피온4,1218
286,드록바 발리슛 2,1213
561,Drogba 😍,1200
396,피온 드록바 해트트릭 (중국이랑),1190
342,맞고 뒈져라슛 날리는 드록바 맞뒈슛 #피파온라인4 #첼시 #fifaonline4 #football,1168
599,"앙카가 팔을 앞으로 뻗자, 적 진형이 갈라지더라",1162
186,드록바 의 레이저 헤딩,1130
221,우당탕탕 드록바 -피파4 #shorts,1126
32,피파4 드록바 #피파온라인4 #아이콘 #드록바 #모먼트 #금카 #드리블 #개인기 #구독과좋아요,1120
239,드록바에게 혼나면 안되는 이유 피파4 #shorts,1119
252,아 ㅎ 그냥 형 줄게 드록바가 무서운 히바우두,1118
30,손흥민 곧 호날두 기록 넘는다!! 이번 맨유전으로 드록바와 어깨를 나란히하고 호날두의 기록을 뛰어넘을 수 있다!!,1095
279,드록바 빠따 지리네 #shorts,1087
171,[피파모바일] 드록바 대지를 가르는 슈팅 #shorts,1087
181,얘네들 때문에 드록바와 램퍼드가 2위 왜?,1080
250,전쟁을 멈추게 한 '검은예수' 디디에 드록바,1077
390,드록바가 받는 얼리크로스란 #피파온라인4 #첼시 #fifaonline4 #football,1069
372,한명을 보내버리는 드록바#피파모바일 #잘가,1063
315,드록바의1호골#sorts,1035
386,헤더만 꽂던 드록바 단독돌파골 #피파온라인4 #첼시 #football #fifaonline4,1023
40,피파4 드록바 프로의 공식경기 배치고사,1004
385,[풀경기 - 12시컨 드록바] 크로스 팁과 물총 가감속 활용 (Cross play & Change of pace),1000
300,피파4 전쟁을 멈춘 사나이 드록바 탈룰라 ㅋㅋ,990
248,대한민국 평균의 눈에서 평가한다. CAP 드록바 리뷰 ㅣ피파4 #shorts,960
183,"[명언/인물탐구] 신이라 불리던 사나이, 디디에 드록바 (The story of Diedier Drogba)",953
476,사요나라 고양이 긴토키 드록바 사우르스,944
604,[파벨 네드베드]에 대한 언사,917
274,드록바 바이시클,917
585,6개월 동안 우리가 기다린 미하일로 무드릭의 데뷔골 #football,904
527,피파 200억 스쿼드 ) 리그앙 유일 챔스 우승 ( 올은카 ),889
313,#모바일게임 #피파모바일 #선수뽑기#드록바 #게임추천 #fifa23,866
280,드록바 발리슛 1,866
589,한주가 끝나고 고범이는 맛이가고...#부산 #먹태형님 #서칸티비 #먹살만 #맛춤민지 #샤넬보영 #붕어 #부천 #김해꼬마 #투깝이,834
537,아프리카TV 손절!!!새롭게 시작하렵니다 #부산 #먹태형님 #서칸티비 #먹살만 #맛춤민지 #샤넬보영 #붕어 #부천 #김해꼬마 #투깝이,822
132,#피파4 #피파온라인4 #드록바 #아이콘 #슛,805
536,고범이의 시간이 돌아왔습니다 새벽의고범 뱀파이어!!!! 누구피를빨까??#부산 #먹태형님 #서칸티비 #먹살만 #맛춤민지 #샤넬보영 #붕어 #부천 #김해꼬마 #투깝이,802
263,차두리 부수기 - 피파4 #shorts #드록바 #차두리,777
86,"모먼트 드록바 존버 일기 제 2화: 그 시절 우리의 ""10""록바 형이 돌아왔다! 아이콘 드멘 은카 침투 및 치달 스피드 영상으로 인증합니다. [피파온라인4]",762
133,첼시의 첫 챔스 우승을 이끈 전쟁을 멈춘 사나이 드록바 I 드록바 스페셜 I 드록바 세레머니 I 체크인드록바,687
258,"드록바 VS 스털링 PL 스탯 비교, (스털링이 PL 역대급 선수인 이유)",663
438,피파모바일 드록바 무난한 골,652
329,드록바 DDOOK배기,640
306,드록바도 하는 zs 논스톱 슛 - 피파4 #shorts #드록바,613
264,드록바 형님의 풀 스윙 슛! Drogba #efootball #위닝,609
50,인생강화#피파4#드록바#mc#꽉채우는강화는없다,582
302,심리학자 드록바 - 피파4 #shorts,561
548,젤리 ㅈㄴ 땡기게 하는 포파나,556
194,편파판정에 빡쳐 방송카메라에 쌍욕 박은 드록바,530
273,믿고 쓰는 드록바 뚝 #첼시 #피파온라인4 #fifaonline4 #football,515
191,손케듀오 이전 𝘌𝘗𝘓 최고 듀오💙 #𝙇𝙖𝙢𝙥𝙖𝙧𝙙 #𝘿𝙧𝙤𝙜𝙗𝙖 #𝘾𝙃𝙀𝙇𝙎𝙀𝘼,499
501,04년 클럽춤 #댄스 #설영욱#와이퍼#드록바#오동지,498
380,디디에 드록바의 어록 다섯가지,472
511,모먼트 드록바 존버 일기 제 10화: 직구로 날아온 팩폭에 몹시 분노하는 상대유저 ㅋㅋ,454
307,드록바 2칸강화성공,449
105,챔스 결승 레전드 11-12시즌 / 첼시 VS 뮌헨 드록바 전성기!,443
231,(피파 온라인 4) 첼시의 레전드 개사기 스트라이커 mog 드록바 8카,431
159,첼시의 상징 디디에 드록바 스페셜?,428
234,디디에 드록바#드록바 #drogba #procreate #아이패드 #아이패드드로잉 #프로크리에이트 #그림 #그림과정 #스피드페인팅 #그리기 #그림그리기 #그림쟁이,428
230,첼시 첫 챔스우승 I 전쟁을 멈춘 사나이 드록바가 만든 첼렘덩크,426
391,첼시팬 아니면 보지마세요. 무더운 여름 드록바 받아가세요.,425
163,드록바 이적 후 첫 패배 피파4,424
432,피파4 아이콘 드록바쓰고 챔스찍기 1차전 (feat 챌딱이가 슈챌 올라온거도 대단한거 아니에요? ),415
200,보스니아-헤르체고비나vs코트디부아르 드록바의 프리킥 골,395
210,드록바의 ``THE FD``,371
358,"피파 모바일 일일 접속 보상 대박 , 드록바 #shorts",343
562,첼시의 미래 미하일로 무드릭 훈련 모음 #football,341
522,힘든하루 보고싶은분들이 많네요 부천,337
474,(피파 온라인 4) 드록바 VS 발로텔리,316
540,이때까지 감독과 뭔가 다른 포체티노의 첼시 데뷔전 #football,304
603,다시 스몰파이트를 찾아서.. imp...ㅣ알비온ㅣalbion,303
394,너무 스무스한 드록바의 결정력,298
262,짠준식 첼드록바3칸 5카 강화 #shorts,292
336,미가 드록바 (댄스?) ㅋㅋㅋㅋ,286
237,#드록국 #드록바 #코트디부아르 #일상생활 #아프리카 #신기해,280
558,2018 Aboubakar VS 2016 Drogba hangisi yorumlara yaz,278
607,[피파4] 크로스에는 역시 드멘!!,274
579,정우형님 고구마형님 이랑 #광주,263
414,#코트디부아르 #아비장 #Abidjan #cotedivoire #드록바 #드록국 #오늘행복 #africa #côtedivoire #cotedivoire🇨🇮 #corée #🇰🇷,262
588,호날두vs드록바 자존심 골 대결!! 승자는? #피파온라인4 #호날두 #드록바,254
150,지속된 전쟁을 멈춘 축구의 신 디디에 드록바,251
584,밥좀 먹여주세요...... #부천 #안산 #강남 #홍대 #야킹 #인천 #여행 #남캠 #여캠 #신입 #엑셀 #구월,244
473,엠비피 드록바 리뷰!,236
415,fifa18 드록바 경기중 신내림,213
128,드록바 발리 슛,211
582,#전주#전주한옥마을,206
366,풋볼 드록바 중거리 슛 골~~~,192
586,크루 들어가겠습니다..... #부천 #안산 #강남 #홍대 #야킹 #인천 #여행 #남캠 #여캠 #신입 #엑셀 #구월,187
240,드록바 어케넣지,187
291,드록바의엄청난중거리,179
253,첼시 팬이라면 절대 잊지 못하는 드록바의 극적인 헤더골,178
577,LA시. 떼강도 태스크포스팀 구성 강력대응 (08.18.2023) 한국TV 모닝 뉴스,168
557,제 2의 램파드 마운트의 데뷔골,167
371,FA드록바 은카 성능,163
360,아스날 킬러 드록바의 미친 골 모음 #football,150
361,드록바와 살라가 대단한 이유 #shorts,137
333,직장인의삷하루#과자브랜드먹방#갓용만#고범#드록바#,127
187,[카드만들기1]#드록바 #드로르바 #피파모바일 #신청받아요 #캡컷,125
325,엉덩이 흔드록바 #shorts,125
303,첼시 첫 챔스 우승 후 드록바의 트로피 산책 #football,122
123,드록바 레전드 치달 #shorts #피파온라인4 #피파4,121
369,귀여워요 드록바,110
202,타이밍 맞춰서 멈춰!! #21,98
565,tricota de Drogba contra el psg,91
429,k-드록바 내친구,85
409,와우박스 첼시 레전드 디디에 드로그바 드록바 싸인 블랙에디션 축구 폰케이스,81
208,드록바,78
560,"(피파 온라인 4) 케파 한테 주전 뺐겨버린 첼시 챔스 우승의 주역 ""에두아르 멘디""",77
267,드록바 3카 성공,74
602,"(피파 온라인 4) 첼시의 역사상 최고의 골키퍼 개사기 ""페트르 체흐""",68
431,"(피파 온라인 4) 첼시의 드록바 다음 코트디부아르 공격수 ""살로몬 칼루""",57
362,뱅탄드록바 5카 강화가주아,50
384,(피파 온라인 4) 드록바의 첼시 VS 그냥 박주영,50
583,RECORD EN PL CAICEDO À CHELSEA POUR 134M€. #caicedo#chelsea#premierleague #football #mercato,48
337,(피파 온라인 4) 맨시티의 엘링 홀란 VS 첼시의 디디에 드록바,46
365,"(피파 온라인 4) 첼시 역사상 최고의 스트라이커 ""디디에 드록바""",46
485,게임 속 드록바의 사기,46
403,(피파 온라인 4) 솔직히 드록바 보다 사기 스트라이커 테미 에이브라햄 리뷰,43
423,(피파 온라인 4) 첼시의 개사기 조합 전 st 드록바 & 현 st 하베르츠,42
222,메시가 드록바 보다 앞서는 이유,36
576,"(피파 온라인 4) 무리뉴 첼시 시대 레전드 악마의 왼발 ""아르연 로번""",33
392,(피파 온라인 4) 첼시의 영원한 듀오 드록바 & 램파드 조합 모음,31
406,드록바가 되고싶었던 찬이,28
581,(피파 온라인 4) 미친 골결정력 첼시의 개사기 스트라이커 테미 에이브라햄,27
487,엄마가 똥싸면 우는 고양이 긴토키 드록바 사우르스,24
448,(피파 온라인 4) 사실 오래전부터 드록바 같은 스트라이커를 기다려왔다우,23
503,부르면 오는 고양이 긴토키 드록바 사우르스,21
481,(피파 온라인 4) 첼시의 심장 드록바 VS 맨유의 PL 마지막 발롱도르 호날두,20
209,구찌챌린지#드록바#아프리카티비,18
201,(피파 온라인 4) 첼시 역사상 최고의 스트라이커 디디에 드록바,17
535,Didier Drogba family Affair🔥#drogba #football#family #legend #viral #shorts,17
454,협곡에서 드록바 뺨치는 오리아나 드리블 #shorts,16
425,[피파] 느그와꾸드록바,13
203,드록바 닮은 여사친,12
427,bj드록바님의 라이브 방송!,11
348,드록바 뚝배기,10
450,거북이드록바 #터틀배틀,7
305,드록바 침투후 마무리,6
407,끝나지않은 드록바2차전,5
311,드록바 완벽한 파워슛페이크 이후 마무리,2
34,[피파4] 드로그바 피지컬!!!,0
33,드록바 전설의 일부러 넘어진척 세레머니! Drogba celebration fail! #shorts,0
437,피온4 아이콘 드록바 레전드 강화,0
